Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ALEMANIA REP. FED.|EL CARMEN|11/12/2015| 87032369|2005|AUDI|A4 QUATTRO 1.8T|1800|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|24647.82|2957.74|
SUECIA|EL CARMEN|17/12/2015| 87032369|2003|AUDI|A4 1.8T|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15571.04|1868.52|
ESPANA|CENTRAL DE GUATEMALA|11/12/2015| 87032369|2016|AUDI|Q3|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|206385.18|24766.22|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|06/01/2016| 87032363|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|212065.73|25447.89|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|06/01/2016| 87032490|2016|AUDI|S7|3993|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|475486.94|57058.43|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|30/12/2015| 87032379|2013|AUDI|A8|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|311989.61|37438.75|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|11/12/2015| 87032259|2016|AUDI|A3|1197|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|138783.72|16654.05|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|08/12/2015| 87033269|2016|AUDI|Q5|1968|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|209349.96|25122|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|08/12/2015| 87032369|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|211826.87|25419.22|
ALEMANIA REP. FED.|TECUN UMAN|16/12/2015| 87032379|2002|AUDI|A6 2.7T QUATTRO|2700|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|17343.96|2081.28|
ESTADOS UNIDOS|PUERTO BARRIOS|05/01/2016| 87032369|2009|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16553.87|1986.46|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|06/01/2016| 87032363|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|241219.45|28946.33|
ESTADOS UNIDOS|PUERTO BARRIOS|07/01/2016| 87032369|2003|AUDI|A4 1.8T QUATTRO|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|10280.67|1233.68|
SLOVAKIA|CENTRAL DE GUATEMALA|29/12/2015| 87033380|2016|AUDI|Q7|2967|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|7|5|0|334652.25|40158.27|
ALEMANIA REP. FED.|EL CARMEN|20/12/2015| 87032369|2005|AUDI|A4 1.8T QUATTRO AWD|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16612.25|1993.47|
ESPANA|CENTRAL DE GUATEMALA|11/12/2015| 87032269|2016|AUDI|Q3|1395|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|174059.19|20887.1|
MEXICO|EL CARMEN|22/12/2015| 87032490|2003|BUICK|RENDEZVOUS CX 4X2|3400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|29567.15|3548.06|
ALEMANIA REP. FED.|TECUN UMAN|22/12/2015| 87032379|2006|BMW|330I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|25756.95|3090.83|
ALEMANIA REP. FED.|EL CARMEN|29/12/2015| 87032379|2002|BMW|325I|2500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12762.24|1531.47|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|07/01/2016| 87032369|2016|BMW|X3  SDRIVE20I|1997|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|214669.72|25760.37|
ALEMANIA REP. FED.|PUERTO BARRIOS|08/12/2015| 87032379|2002|BMW|330 CI|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|9916.22|1189.95|
